types,name,longitude,latitude
path,none,127.045468,37.3015088
path,none,127.0454569,37.3014959
path,none,127.0451478,37.3016795
path,none,127.0451346,37.3016608
station,Gwanggyo,127.0447584,37.3018722
path,none,127.0442727,37.3019454
path,none,127.0436761,37.3022458
path,none,127.0436705,37.3024112
path,none,127.0435311,37.3025055
path,none,127.0432127,37.3026219
path,none,127.0431397,37.3025513
path,none,127.0428803,37.3028484
path,none,127.0427725,37.3028361
path,none,127.0460068,37.3012266
path,none,127.0464842,37.3009276
path,none,127.0465379,37.300922
path,none,127.0467195,37.300822
path,none,127.0468585,37.3007517
path,none,127.046854,37.3007303
path,none,127.0472919,37.3004707
path,none,127.0474727,37.3003484
path,none,127.0474693,37.3003182
path,none,127.0478513,37.3000299
path,none,127.0478702,37.3000409
path,none,127.048066,37.2998376
path,none,127.0480827,37.2998471
path,none,127.0484981,37.2994235
path,none,127.0487882,37.299061
path,none,127.0488293,37.2990847
path,none,127.049106,37.2987639
path,none,127.0492029,37.2986451
path,none,127.0492457,37.2986714
path,none,127.0496139,37.2980204
path,none,127.0496821,37.2980313
path,none,127.0497499,37.2977452
path,none,127.049808,37.2977433
path,none,127.049801,37.2975118
path,none,127.0498787,37.2974887
path,none,127.0498963,37.2973023
path,none,127.0498579,37.2970403
path,none,127.0498053,37.2968177
path,none,127.0493043,37.2951335
path,none,127.0489133,37.2939814
path,none,127.048478,37.2932861
path,none,127.0482908,37.2926689
path,none,127.0482546,37.2923317
path,none,127.0482353,37.2915985
path,none,127.0483186,37.2913717
path,none,127.0484949,37.290989
path,none,127.0491447,37.2903938
path,none,127.0509569,37.2890183
station,Gwanggyo Jungang,127.0514993,37.288547
path,none,127.0524043,37.2879791
path,none,127.0535099,37.2870852
path,none,127.0535853,37.2870658
path,none,127.054123,37.286707
path,none,127.0546243,37.2863451
path,none,127.055182,37.2861099
path,none,127.055572,37.2859718
path,none,127.0559813,37.2859066
path,none,127.0562621,37.2858905
path,none,127.0565991,37.2859756
path,none,127.0569208,37.2860691
path,none,127.0573947,37.2863443
path,none,127.0574947,37.2862614
path,none,127.0575462,37.2862392
path,none,127.0577532,37.2864669
path,none,127.0580692,37.2868447
path,none,127.0592226,37.287799
path,none,127.0618068,37.2899027
path,none,127.0629181,37.2908524
path,none,127.0634192,37.2911035
path,none,127.0650154,37.2917224
path,none,127.0668941,37.2925335
path,none,127.0674686,37.2928361
path,none,127.0679061,37.2932474
path,none,127.0681732,37.2936922
path,none,127.068935,37.2965179
station,Sanghyeon,127.0692388,37.297444
path,none,127.0698213,37.2993999
path,none,127.0701306,37.3002743
path,none,127.0703461,37.3006507
path,none,127.0719877,37.3017732
path,none,127.0736115,37.3029368
path,none,127.0741668,37.3034679
path,none,127.0746504,37.3043058
path,none,127.0749007,37.3048121
path,none,127.0748406,37.3048692
path,none,127.0748896,37.3051251
path,none,127.0748086,37.3059911
path,none,127.0749008,37.3061373
path,none,127.0748901,37.3063082
path,none,127.0748037,37.3064048
path,none,127.0749026,37.3064576
path,none,127.0749134,37.3066326
path,none,127.0748213,37.3066652
path,none,127.0748804,37.3068183
path,none,127.0761397,37.3096038
path,none,127.0769234,37.311075
path,none,127.0768776,37.3111365
path,none,127.0769585,37.311342
path,none,127.0770626,37.3113401
path,none,127.0771487,37.3115525
path,none,127.0772335,37.3115272
path,none,127.0774111,37.3117155
path,none,127.0774891,37.3116701
path,none,127.0784412,37.3123182
path,none,127.0785615,37.3123298
path,none,127.0797685,37.3130824
path,none,127.0800718,37.313216
station,Seongbok,127.0802535,37.3134512
path,none,127.0804961,37.3137545
path,none,127.081175,37.3148918
path,none,127.0819218,37.316077
path,none,127.0823139,37.3165832
path,none,127.0828115,37.316847
path,none,127.0868614,37.3182144
path,none,127.0883461,37.319014
path,none,127.089785,37.3197993
path,none,127.0944673,37.3224026
station,Suji-gu Office,127.0946848,37.3225412
path,none,127.095529,37.3230318
path,none,127.0963021,37.3234251
path,none,127.0963487,37.3234547
path,none,127.0963889,37.3235534
path,none,127.1003216,37.3259803
path,none,127.1015975,37.3267396
path,none,127.1019073,37.3269931
path,none,127.1021404,37.3272535
path,none,127.1026044,37.3282762
path,none,127.1026895,37.3289645
path,none,127.1027666,37.3322429
path,none,127.1028339,37.3329398
path,none,127.1027979,37.3329475
path,none,127.1027659,37.3341941
path,none,127.1027695,37.336757
station,Dongcheon,127.1027711,37.3378779
path,none,127.1028628,37.3390636
path,none,127.1028893,37.3390647
path,none,127.1027875,37.3391176
path,none,127.1027922,37.3391722
path,none,127.1027381,37.3390808
path,none,127.1028987,37.3392876
