idx,x,y,z
0,0.00186,0.00493,0.00232
1,0.01358,-0.00786,0.00125
2,0.00826,-0.02916,0.00446
3,0.01891,0.00706,-0.00513
4,0.00505,0.00386,-0.00301
5,0.00079,0.01453,0.0002
6,0.00186,0.02197,0.00232
7,-0.00667,0.0092,0.00125
8,0.00612,0.00386,0.00659
9,0.00719,0.01453,0.00446
10,0.01144,-0.0004,-0.00087
11,0.02209,0.00493,0.0002
12,0.02423,0.01772,-0.00087
13,0.03062,0.01878,-0.01472
14,0.03702,0.0209,-0.02217
15,0.03807,0.00174,-0.02856
16,0.03275,-0.0004,-0.02431
17,0.0157,0.00281,-0.02005
18,0.02316,0.0092,-0.0094
19,0.0157,0.01025,0.0002
20,0.00186,0.01665,0.00871
21,-0.00774,0.0092,0.01724
22,-0.01732,0.00386,0.01617
23,-0.02583,0.00706,0.00764
24,-0.02051,-0.00146,0.00125
25,-0.01732,-0.00679,0.00125
26,-0.01732,-0.00252,-0.00087
27,-0.03543,-0.00465,-0.00726
28,-0.04076,0.0092,0.00125
29,-0.04076,0.01453,0.00659
30,-0.04076,0.01132,0.00871
31,-0.02904,0.0209,0.00764
32,-0.02051,0.02411,0.00764
33,-0.01306,0.01239,0.00659
34,-0.01306,0.00706,0.00446
35,-0.01093,0.00706,0.00339
36,0.00293,-0.0004,-0.00087
37,-0.00027,0.00067,0.00125
38,0.00719,-0.00146,-0.00407
39,0.00826,-0.00252,-0.00726
40,0.00293,0.00067,-0.00301
41,0.00293,0.00706,0.00339
42,-0.0024,0.02304,0.01192
43,0.00505,0.01985,0.01617
44,0.00719,0.00706,0.03108
45,0.01784,0.01878,0.03641
46,0.03702,0.02518,0.02469
47,0.02635,-0.00359,0.00871
48,0.01465,0.00706,-0.00194
49,0.00398,0.01239,-0.01259
50,-0.01199,-0.00359,0.00232
51,-0.01199,-0.01212,0.00871
52,-0.0056,-0.01318,0.00339
53,0.00079,-0.01212,-0.00194
54,-0.00134,-0.01212,-0.00194
55,0.00293,-0.01637,-0.00513
56,0.00293,-0.00465,-0.00513
57,0.00079,0.00174,-0.0062
58,0.00505,-0.00252,-0.0094
59,-0.00346,-0.00359,-0.01047
60,-0.0024,-0.00359,-0.0094
61,-0.00027,-0.00359,-0.00407
62,0.00398,-0.00572,-0.00194
63,0.00505,-0.00572,-0.00513
64,0.00186,0.006,-0.0062
65,-0.0024,0.00386,-0.00726
66,-0.00134,0.00386,-0.00407
67,0.00398,0.01132,-0.00513
68,0.00931,0.0092,-0.01047
69,-0.00027,0.00386,-0.00833
70,-0.0024,-0.0004,-0.00301
71,0.00826,0.006,-0.00301
72,0.00826,0.00493,-0.00301
73,-0.00346,0.006,-0.00194
74,-0.00346,0.00386,0.00232
75,0.00079,0.00386,0.00125
76,-0.00346,-0.0004,0.00125
77,0.00398,0.00813,0.00125
78,0.01038,0.006,-0.00301
79,0.00293,0.00174,-0.00407
80,0.00186,0.00386,0.0002
81,-0.00027,0.00386,0.00125
82,-0.00667,0.00174,0.00339
83,-0.00134,0.00281,-0.00087
84,0.00505,0.00174,0.00125
85,0.00612,-0.00146,0.00232
86,0.00079,-0.0004,-0.00087
87,0.00719,-0.0004,0.0002
88,0.00293,0.00386,-0.00087
89,-0.00027,0.00493,0.00125
90,0.00186,0.00386,0.00125
91,0.00719,0.00174,-0.00087
92,0.00719,-0.00359,0.0002
93,-0.00027,-0.00252,-0.00301
94,0.00931,0.006,-0.00301
95,-0.00453,0.00067,-0.00301
96,-0.0024,0.00067,0.00339
97,0.00293,-0.00252,0.00125
98,-0.0024,-0.0004,0.00232
99,0.00079,0.00813,0.0002
100,0.00079,0.00386,0.00232
101,0.00079,0.00174,0.00232
102,0.00505,0.00174,-0.00407
103,0.00398,-0.0004,-0.00301
104,0.00398,0.00281,0.00125
105,0.00079,0.00281,0.0002
106,-0.00027,0.00067,0.00125
107,0.00293,0.00281,0.0002
108,0.00186,0.00706,0.00125
109,-0.00134,0.006,0.00339
110,0.00293,0.0092,0.00232
111,0.00398,0.00386,0.0002
112,0.00719,-0.00252,-0.00407
113,0.00931,0.00174,-0.00407
114,0.00505,0.00493,0.0002
115,0.00612,0.00386,0.0002
116,0.00398,-0.00146,0.00232
117,0.00398,0.00386,0.00446
118,-0.0024,0.00493,0.00659
119,0.00398,0.01239,-0.00087
120,-0.00027,0.00706,0.00446
121,0.00079,0.00281,0.00446
122,0.00398,-0.00146,-0.00301
123,0.00398,-0.00146,-0.0062
124,-0.00027,0.00067,-0.00301
125,-0.00134,-0.00998,-0.00301
126,-0.00027,-0.00891,0.0002
127,0.00719,-0.00891,0.00125
128,0.00612,-0.00465,-0.00087
129,0.00612,0.00493,-0.00087
130,-0.00134,0.00493,0.00552
131,-0.00453,-0.00465,0.00232
132,-0.00134,-0.00572,-0.00301
133,0.00398,0.006,-0.0062
134,0.00719,0.00493,-0.0062
135,0.00079,0.00281,-0.00407
136,0.00186,0.00281,0.0002
137,0.00505,0.00281,-0.00194
138,0.00079,-0.0004,0.00125
