idx,x,y,z
0,-39.86397,-20.29667,-34.75342
1,-39.31961,-20.18433,-35.05325
2,-39.43253,-20.33405,-34.71565
3,-39.45122,-20.20283,-34.99718
4,-39.24484,-20.16544,-34.64088
5,-39.43253,-19.92168,-34.64108
6,-39.58244,-19.94038,-34.54704
7,-39.46972,-20.22152,-34.47227
8,-39.24484,-20.31517,-34.4532
9,-39.16988,-20.44659,-34.30347
10,-39.82601,-20.40901,-34.28459
11,-40.08884,-20.63408,-34.45339
12,-40.07015,-20.54043,-35.03456
13,-40.23895,-20.44678,-34.67827
14,-39.9765,-20.14656,-34.20944
15,-39.03885,-19.99645,-34.11579
16,-39.24503,-19.92168,-34.00326
17,-39.82639,-19.64054,-33.96568
18,-39.95743,-19.86542,-33.96587
19,-39.60114,-20.07179,-34.05952
20,-39.16969,-19.75288,-34.41563
21,-39.18858,-19.69643,-34.26552
22,-39.43253,-19.9028,-34.54685
23,-39.67628,-20.33386,-34.62181
24,-39.80732,-19.99645,-34.37824
25,-39.60094,-19.75288,-34.56573
26,-39.995,-20.39051,-35.03456
27,-39.52637,-20.03403,-34.67827
28,-39.88266,-19.4149,-34.49059
29,-39.80732,-19.34013,-34.54704
30,-39.63871,-19.67773,-34.86576
31,-39.62002,-19.80877,-34.4347
32,-40.18269,-20.2776,-34.92222
33,-40.3513,-20.33386,-35.1469
34,-39.73236,-19.94038,-34.60331
35,-40.61375,-20.10918,-35.05344
36,-41.28895,-20.6152,-34.99699
37,-40.06996,-20.52155,-34.50947
38,-39.86378,-20.12768,-34.47227
39,-39.41402,-20.18414,-34.64069
40,-39.00108,-20.18414,-34.67827
41,-39.60075,-19.71531,-34.79099
42,-39.8262,-20.27779,-35.20355
43,-40.1825,-20.48416,-34.99718
44,-39.75124,-20.35275,-34.54685
45,-39.30111,-19.95907,-34.37843
46,-39.09492,-19.94038,-34.50966
47,-39.56375,-19.9028,-35.05306
48,-40.08865,-20.55893,-34.90334
49,-39.45122,-20.09029,-34.45339
50,-39.24484,-20.0901,-34.86595
51,-39.28204,-19.90261,-34.86595
52,-39.99481,-19.99664,-34.45339
53,-40.06977,-20.48416,-34.22832
54,-39.58225,-20.29648,-34.4532
55,-39.05754,-20.03403,-34.2844
56,-38.88855,-19.69643,-34.82819
57,-39.50748,-19.80915,-34.80949
58,-39.39476,-20.01514,-34.97829
59,-39.16988,-20.18394,-34.71546
60,-39.26373,-19.94019,-34.4532
61,-39.45103,-19.58408,-34.90334
62,-39.52618,-20.16544,-34.65939
63,-39.90135,-20.29629,-35.01549
64,-39.65759,-20.20264,-34.65958
65,-39.33868,-20.18375,-34.17206
66,-39.43233,-20.35255,-34.47208
67,-39.09473,-19.82765,-34.73434
68,-39.20727,-19.62147,-34.71565
69,-39.20727,-19.47155,-34.26571
70,-39.48879,-20.37163,-34.90314
71,-40.12623,-20.46528,-35.07175
72,-40.5201,-19.94019,-34.54704
