idx,x,y,z
0,-1.14928,2.38428,9.72632
1,-1.27856,2.23105,9.71915
2,-1.5132,2.1257,10.09743
3,-1.60896,2.27414,9.55873
4,-1.44856,2.18317,9.50606
5,-1.24985,2.08261,9.55154
6,-1.10139,2.24541,9.41508
7,-1.07985,2.2119,9.46297
8,-1.07028,2.28372,9.53239
9,-1.07028,2.28851,9.60182
10,-1.20914,2.20232,9.6497
11,-1.38631,2.36034,9.46536
12,-1.40546,2.30766,9.68802
13,-1.35518,2.35315,9.78618
14,-1.30251,2.16162,9.76703
15,-1.1445,2.13528,9.95616
16,-0.99605,2.1257,9.64731
17,-0.95296,2.2095,9.35522
18,-1.07506,2.18077,9.60661
19,-1.01282,2.30287,9.58986
20,-1.0583,2.06584,10.21474
21,-0.69438,2.03712,9.54436
22,-1.19238,1.94853,9.53958
23,-1.27617,2.38907,9.3217
24,-1.37195,2.29091,9.63774
25,-1.81487,2.3364,9.59943
26,-1.4294,2.48004,9.28101
27,-1.19955,2.50159,9.33607
28,-0.95775,2.29091,9.57069
29,-1.10379,2.14725,9.74309
30,-1.0607,2.16879,9.70956
31,-0.8931,2.32202,9.91068
32,-1.00323,2.46089,9.72632
33,-1.02718,1.78094,10.11897
34,-1.36716,1.68996,10.36317
35,-1.36955,2.41061,9.96335
36,-0.75664,2.26218,9.46297
37,-0.771,1.83839,9.73111
38,-1.03197,1.89825,9.40311
39,-1.24506,1.76178,9.75266
40,-1.28815,2.13049,9.38635
41,-1.46532,2.42259,9.10384
42,-0.93141,2.24303,8.86681
43,-0.99367,2.06824,9.29057
44,-1.51799,2.22626,9.57549
45,-1.71191,2.24541,9.59943
46,-1.95374,1.96051,10.36079
47,-2.12611,1.96529,10.29135
48,-1.82924,2.29808,9.60661
49,-1.66882,2.05388,10.06151
50,-1.56108,2.14964,9.84125
51,-1.21153,2.06346,9.85561
52,-1.39349,2.14008,10.08067
53,-1.67841,2.35794,9.17805
54,-1.37674,2.18796,9.59225
55,-1.56587,2.0874,9.16368
56,-1.42462,1.98685,9.37917
57,-1.32167,2.16641,9.18285
58,-1.43898,2.19753,9.50845
59,-1.45573,1.95811,9.85083
60,-1.53714,2.16162,9.46774
61,-1.44138,2.28612,9.36719
62,-0.86916,2.21907,9.44859
63,-0.57947,2.31245,10.33923
64,-1.48447,1.508,11.08862
65,-1.56108,2.13528,9.75026
66,-1.45335,2.27174,9.30016
67,-1.60658,2.0419,9.78139
68,-1.58264,2.02036,9.95616
69,-1.82924,2.24303,9.27861
70,-1.30969,2.66919,9.33128
71,-0.76382,2.43935,9.91786
72,-1.15886,1.69954,10.39191
73,-1.24506,1.94374,8.80217
74,-1.64967,1.86473,8.88356
75,-1.74304,2.03951,8.5388
76,-2.15005,1.89346,9.55394
77,-1.76698,2.07303,9.73351
78,-2.04471,1.95093,10.10701
79,-2.00641,2.37709,10.14291
80,-0.82846,2.59018,9.50127
81,-1.05591,1.6732,10.36317
82,-1.86514,1.39308,10.55951
83,-1.31209,1.82883,9.95139
84,-1.85078,1.32603,9.97533
85,-1.86514,1.74982,9.75266
86,-1.49165,2.10655,9.02003
87,-1.12294,1.84798,9.09425
88,-0.83325,1.8815,9.21875
89,-1.78375,1.40744,10.22911
90,-1.64728,1.96051,9.67604
91,-1.07028,2.4561,9.20439
92,-0.62735,1.8815,10.31529
93,-1.00563,1.75938,10.31052
94,-0.89549,2.07303,9.87715
95,-0.96014,2.11852,9.59465
96,-1.27139,1.65643,10.39909
97,-1.20435,2.20711,9.26186
98,-1.08704,2.00121,9.50845
99,-1.36955,2.22865,9.10384
100,-0.71115,2.09218,9.82927
101,-0.45018,2.1281,9.38875
102,-0.39751,2.37949,9.27621
103,-0.43103,2.35794,9.47493
104,-0.3999,2.31964,10.09503
